Product,Needed_Time(Hour),Needed_Time(Minute),Earliest_Available_Time(Day),Earliest_Available_Time(Hour),Earliest_Available_Time(Minute),Priority,Due_Time(Day),Due_Time(Hour),Due_Time(Minute)
1,2,45,Tuesday,16,45,1,Wednesday,10,30
2,1,45,Monday,15,45,3,Wednesday,12,0
3,2,45,Monday,17,45,4,Thursday,11,45
4,2,0,Monday,8,30,1,Wednesday,13,45
5,2,30,Monday,10,30,1,Tuesday,8,30
6,3,15,Tuesday,16,0,2,Thursday,17,30
7,1,30,Tuesday,16,30,3,Wednesday,13,30
8,1,15,Tuesday,17,45,1,Friday,9,45
9,3,0,Monday,13,30,2,Thursday,14,15
10,3,0,Monday,17,15,1,Wednesday,12,30
11,3,45,Tuesday,15,45,1,Thursday,13,30
12,1,15,Monday,15,45,1,Tuesday,15,0
13,0,45,Monday,15,30,1,Tuesday,16,45
14,2,15,Monday,9,30,1,Tuesday,13,30
15,1,0,Tuesday,13,0,3,Tuesday,15,45
16,2,45,Tuesday,17,0,4,Friday,17,0
17,2,30,Monday,15,30,4,Wednesday,8,45
